Storage Modulus (MPa),Temperature (C),Frequency (Hz)
58.76,140,0.316
59.139,140,0.383
59.535,140,0.464
59.602,140,0.562
59.946,140,0.681
60.37,140,0.825
60.522,140,1
60.492,140,1.21
60.865,140,1.47
61.131,140,1.78
61.3,140,2.15
61.542,140,2.61
61.88,140,3.16
62.138,140,3.83
62.48,140,4.64
62.713,140,5.62
62.843,140,6.81
63.174,140,8.25
62.755,140,10
54.131,150,0.1
54.692,150,0.121
54.78,150,0.147
55.295,150,0.178
55.607,150,0.215
55.836,150,0.261
55.921,150,0.316
56.344,150,0.383
56.511,150,0.464
56.842,150,0.562
56.969,150,0.681
57.094,150,0.825
57.399,150,1
57.768,150,1.21
57.99,150,1.47
58.254,150,1.78
58.4,150,2.15
58.718,150,2.61
59.053,150,3.16
59.278,150,3.83
59.6,150,4.64
59.739,150,5.62
60.073,150,6.81
60.309,150,8.25
60.185,150,10
50.028,160,0.1
50.779,160,0.121
51.075,160,0.147
51.244,160,0.178
51.408,160,0.215
51.684,160,0.261
52.082,160,0.316
52.34,160,0.383
52.594,160,0.464
52.842,160,0.562
53.123,160,0.681
53.365,160,0.825
53.501,160,1
53.892,160,1.21
54.167,160,1.47
54.416,160,1.78
54.894,160,2.15
55.004,160,2.61
55.386,160,3.16
55.552,160,3.83
55.774,160,4.64
56.045,160,5.62
56.233,160,6.81
56.664,160,8.25
56.39,160,10
