Storage Modulus (MPa),Temperature (C),Frequency (Hz)
575.9915,65,15.8
586.2532,65,19
600.6619,65,25
614.572,65,31.6
627.33,65,39.8
636.933,65,50
651.4771,65,63
659.3649,65,79.5
667.9259,65,100
372.4238,70,1
383.87,70,1.3
393.2322,70,1.6
403.4578,70,2
413.8104,70,2.5
425.6116,70,3.2
447.3284,70,5
459.0378,70,6.3
470.741,70,7.9
482.7932,70,10
494.8443,70,12.6
506.6605,70,15.8
516.299,70,19
529.773,70,25
543.1434,70,31.6
555.5291,70,39.8
564.8247,70,50
579.4056,70,63
587.3,70,79.5
596.077,70,100
322.5323,75,1
332.8538,75,1.3
341.3198,75,1.6
350.4733,75,2
359.7864,75,2.5
370.3506,75,3.2
389.8059,75,5
400.2595,75,6.3
410.835,75,7.9
421.7275,75,10
432.7067,75,12.6
443.5474,75,15.8
452.4472,75,19
464.9637,75,25
477.329,75,31.6
489.1332,75,39.8
497.6898,75,50
511.8712,75,63
519.3869,75,79.5
528.1045,75,100
277.5609,80,1
286.9538,80,1.3
294.598,80,1.6
302.827,80,2
311.211,80,2.5
320.6656,80,3.2
337.975,80,5
347.2746,80,6.3
356.7447,80,7.9
366.505,80,10
376.2916,80,12.6
386.0748,80,15.8
393.9634,80,19
405.4898,80,25
416.6255,80,31.6
427.5217,80,39.8
435.379,80,50
448.6714,80,63
455.6269,80,79.5
463.8089,80,100
237.0763,85,1
245.4558,85,1.3
252.3084,85,1.6
259.7278,85,2
267.1756,85,2.5
275.656,85,3.2
291.0621,85,5
299.3595,85,6.3
307.7655,85,7.9
316.439,85,10
325.1201,85,12.6
333.7843,85,15.8
340.9964,85,19
350.9053,85,25
361.2536,85,31.6
371.1391,85,39.8
378.1518,85,50
390.487,85,63
396.577,85,79.5
404.0825,85,100
201.1684,90,1
208.6166,90,1.3
214.7056,90,1.6
221.2879,90,2
227.9894,90,2.5
235.6,90,3.2
249.3972,90,5
256.8298,90,6.3
264.3723,90,7.9
272.0236,90,10
279.7052,90,12.6
287.3692,90,15.8
293.5456,90,19
302.5754,90,25
311.6336,90,31.6
320.3534,90,39.8
326.4649,90,50
337.6234,90,63
342.8456,90,79.5
349.4137,90,100
168.9091,95,1
175.3785,95,1.3
180.711,95,1.6
186.4903,95,2
192.4213,95,2.5
199.159,95,3.2
211.4458,95,5
218.0504,95,6.3
224.7228,95,7.9
231.4801,95,10
238.2713,95,12.6
245.014,95,15.8
250.531,95,19
258.1835,95,25
266.56,95,31.6
274.0545,95,39.8
279.2142,95,50
289.3516,95,63
293.71,95,79.5
299.5657,95,100
140.0737,100,1
145.4248,100,1.3
149.9519,100,1.6
154.9172,100,2
160.0378,100,2.5
165.944,100,3.2
176.7522,100,5
182.5397,100,6.3
188.4258,100,7.9
194.4083,100,10
200.3776,100,12.6
206.2729,100,15.8
211.0615,100,19
217.4166,100,25
224.7898,100,31.6
231.7456,100,39.8
236.0044,100,50
245.175,100,63
248.5013,100,79.5
253.3727,100,100
114.3471,105,1
118.7944,105,1.3
122.5642,105,1.6
126.7827,105,2
131.0701,105,2.5
136.1462,105,3.2
145.5272,105,5
150.5643,105,6.3
155.7782,105,7.9
161.0362,105,10
166.2562,105,12.6
171.3902,105,15.8
175.5385,105,19
181.3136,105,25
187.5675,105,31.6
193.601,105,39.8
197.0483,105,50
205.273,105,63
207.7198,105,79.5
211.6476,105,100
91.49891,110,1
95.08231,110,1.3
98.17337,110,1.6
101.5813,110,2
105.1488,110,2.5
109.4147,110,3.2
117.2586,110,5
121.6574,110,6.3
126.1802,110,7.9
130.7138,110,10
135.2453,110,12.6
139.7907,110,15.8
143.3035,110,19
148.1179,110,25
153.5405,110,31.6
159.1318,110,39.8
161.6384,110,50
169.4756,110,63
170.6128,110,79.5
173.505,110,100
70.56835,115,1
73.44872,115,1.3
75.93476,115,1.6
78.65946,115,2
81.50747,115,2.5
84.9597,115,3.2
91.37898,115,5
95.02106,115,6.3
98.73657,115,7.9
102.4728,115,10
106.2207,115,12.6
109.9938,115,15.8
112.9436,115,19
116.8859,115,25
121.7123,115,31.6
126.2334,115,39.8
128.1776,115,50
135.0997,115,63
135.3509,115,79.5
136.8548,115,100
48.14618,120,1
50.23894,120,1.3
52.13907,120,1.6
54.16186,120,2
56.31489,120,2.5
59.00888,120,3.2
63.86196,120,5
66.7568,120,6.3
69.80097,120,7.9
72.64749,120,10
75.62774,120,12.6
78.59901,120,15.8
80.91656,120,19
83.85222,120,25
87.80359,120,31.6
91.53224,120,39.8
92.51814,120,50
98.59242,120,63
98.0108,120,79.5
98.33644,120,100
18.72596,125,1
19.42383,125,1.3
20.07575,125,1.6
20.98958,125,2
21.99686,125,2.5
23.29054,125,3.2
25.55125,125,5
27.14858,125,6.3
28.91033,125,7.9
30.35499,125,10
32.01621,125,12.6
33.76272,125,15.8
34.89683,125,19
36.14648,125,25
38.72866,125,31.6
41.249,125,39.8
40.88598,125,50
45.53714,125,63
43.82488,125,79.5
42.45738,125,100
